timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1529314145256,14,HTTP Request,200,OK,Thread Group 1-52,text,true,,2598,187,54,54,14,0,3
1529314145252,19,HTTP Request,200,OK,Thread Group 1-49,text,true,,2598,187,54,54,19,0,7
1529314145238,33,HTTP Request,200,OK,Thread Group 1-40,text,true,,2598,187,54,54,33,0,18
1529314145251,20,HTTP Request,200,OK,Thread Group 1-41,text,true,,2598,187,54,54,20,0,8
1529314145233,39,HTTP Request,200,OK,Thread Group 1-34,text,true,,2598,187,54,54,39,0,24
1529314145246,26,HTTP Request,200,OK,Thread Group 1-36,text,true,,2598,187,54,54,26,0,13
1529314145236,37,HTTP Request,200,OK,Thread Group 1-35,text,true,,2598,187,54,54,37,0,23
1529314145253,20,HTTP Request,200,OK,Thread Group 1-28,text,true,,2598,187,54,54,20,0,6
1529314145256,17,HTTP Request,200,OK,Thread Group 1-51,text,true,,2598,187,54,54,17,0,4
1529314145235,38,HTTP Request,200,OK,Thread Group 1-19,text,true,,2598,187,54,54,38,0,24
1529314145248,26,HTTP Request,200,OK,Thread Group 1-33,text,true,,2598,187,54,54,26,0,12
1529314145243,31,HTTP Request,200,OK,Thread Group 1-23,text,true,,2598,187,54,54,31,0,15
1529314145250,25,HTTP Request,200,OK,Thread Group 1-11,text,true,,2598,187,54,54,25,0,10
1529314145240,35,HTTP Request,200,OK,Thread Group 1-9,text,true,,2598,187,54,54,35,0,17
1529314145248,27,HTTP Request,200,OK,Thread Group 1-10,text,true,,2598,187,54,54,27,0,12
1529314145261,15,HTTP Request,200,OK,Thread Group 1-25,text,true,,2598,187,54,54,15,0,2
1529314145241,35,HTTP Request,200,OK,Thread Group 1-7,text,true,,2598,187,54,54,35,0,16
1529314145247,30,HTTP Request,200,OK,Thread Group 1-37,text,true,,2598,187,54,54,30,0,16
1529314145253,24,HTTP Request,200,OK,Thread Group 1-16,text,true,,2598,187,54,54,24,0,7
1529314145250,28,HTTP Request,200,OK,Thread Group 1-48,text,true,,2598,187,54,54,28,0,14
1529314145262,16,HTTP Request,200,OK,Thread Group 1-27,text,true,,2598,187,54,54,16,0,1
